Table Name,Row Count,Table Name,Row Count,
ohlc_230224,91517,ohlc_230224,91517,0
ohlc_230227,84831,ohlc_230227,84831,0
ohlc_230228,79626,ohlc_230228,79626,0
ohlc_230301,86168,ohlc_230301,86168,0
ohlc_230302,85565,ohlc_230302,85565,0
ohlc_230303,95871,ohlc_230303,95871,0
ohlc_230306,89993,ohlc_230306,89993,0
ohlc_230307,96602,ohlc_230307,96602,0
ohlc_230308,81952,ohlc_230308,81952,0
ohlc_230309,102726,ohlc_230309,102726,0
ohlc_230310,129303,ohlc_230310,129303,0
ohlc_230313,123227,ohlc_230313,123227,0
ohlc_230314,111480,ohlc_230314,111480,0
ohlc_230315,112784,ohlc_230315,112784,0
ohlc_230316,102304,ohlc_230316,102304,0
ohlc_230317,99047,ohlc_230317,99047,0
ohlc_230320,95807,ohlc_230320,95807,0
ohlc_230321,93748,ohlc_230321,93748,0
ohlc_230322,99436,ohlc_230322,99436,0
ohlc_230323,101108,ohlc_230323,101108,0
ohlc_230324,98365,ohlc_230324,98365,0
ohlc_230327,89275,ohlc_230327,89275,0
ohlc_230328,76325,ohlc_230328,76325,0
ohlc_230329,80842,ohlc_230329,80842,0
ohlc_230330,78495,ohlc_230330,78495,0
ohlc_230331,88797,ohlc_230331,88797,0
ohlc_230403,81635,ohlc_230403,81635,0
ohlc_230404,74974,ohlc_230404,74974,0
ohlc_230405,68392,ohlc_230405,68392,0
ohlc_230406,76295,ohlc_230406,76295,0
ohlc_230410,75835,ohlc_230410,75835,0
ohlc_230411,65565,ohlc_230411,65565,0
ohlc_230412,85311,ohlc_230412,85311,0
ohlc_230413,78846,ohlc_230413,78846,0
ohlc_230414,82318,ohlc_230414,82318,0
ohlc_230417,76034,ohlc_230417,76034,0
ohlc_230418,67980,ohlc_230418,67980,0
ohlc_230419,63963,ohlc_230419,63963,0
ohlc_230420,75861,ohlc_230420,75861,0
ohlc_230421,74082,ohlc_230421,74082,0
ohlc_230424,73818,ohlc_230424,73818,0
ohlc_230425,95506,ohlc_230425,95506,0
ohlc_230426,88662,ohlc_230426,88662,0
ohlc_230427,89649,ohlc_230427,89649,0
ohlc_230428,90660,ohlc_230428,90660,0
ohlc_230501,78640,ohlc_230501,78640,0
ohlc_230502,98937,ohlc_230502,98937,0
ohlc_230503,86772,ohlc_230503,86772,0
ohlc_230504,96553,ohlc_230504,96553,0
ohlc_230505,93470,ohlc_230505,93470,0
ohlc_230508,72628,ohlc_230508,72628,0
ohlc_230509,62968,ohlc_230509,62968,0
